Date,Total,1 unit,2 to 4 units,5 units or more
Jan 1996,1387,1051,63,273
Feb 1996,1420,1085,60,275
Mar 1996,1437,1108,60,269
Apr 1996,1463,1108,74,281
May 1996,1457,1096,66,295
Jun 1996,1429,1089,64,276
Jul 1996,1450,1074,67,309
Aug 1996,1413,1061,63,289
Sep 1996,1392,1037,70,285
Oct 1996,1358,1010,68,280
Nov 1996,1412,1031,68,313
Dec 1996,1411,1015,62,334
Jan 1997,1382,1046,64,272
Feb 1997,1445,1070,65,310
Mar 1997,1436,1031,66,339
Apr 1997,1421,1054,70,297
May 1997,1414,1046,65,303
Jun 1997,1402,1057,67,278
Jul 1997,1440,1050,74,316
Aug 1997,1449,1061,65,323
Sep 1997,1494,1091,67,336
Oct 1997,1499,1098,76,325
Nov 1997,1469,1093,62,314
Dec 1997,1456,1080,77,299
Jan 1998,1555,1158,71,326
Feb 1998,1647,1191,77,379
Mar 1998,1605,1162,71,372
Apr 1998,1547,1157,57,333
May 1998,1554,1165,66,323
Jun 1998,1551,1148,73,330
Jul 1998,1610,1181,76,353
Aug 1998,1654,1196,72,386
Sep 1998,1577,1187,68,322
Oct 1998,1719,1217,70,432
Nov 1998,1672,1248,59,365
Dec 1998,1742,1317,75,350
Jan 1999,1732,1259,81,392
Feb 1999,1720,1291,68,361
Mar 1999,1665,1239,65,361
Apr 1999,1600,1227,65,308
May 1999,1640,1254,58,328
Jun 1999,1702,1276,64,362
Jul 1999,1682,1276,62,344
Aug 1999,1671,1243,66,362
Sep 1999,1551,1198,64,289
Oct 1999,1649,1208,63,378
Nov 1999,1672,1233,69,370
Dec 1999,1683,1257,71,355
Jan 2000,1727,1277,64,386
Feb 2000,1692,1241,70,381
Mar 2000,1651,1253,65,333
Apr 2000,1597,1192,61,344
May 2000,1543,1182,70,291
Jun 2000,1572,1156,61,355
Jul 2000,1542,1152,57,333
Aug 2000,1552,1173,68,311
Sep 2000,1570,1189,67,314
Oct 2000,1577,1224,68,285
Nov 2000,1614,1208,66,340
Dec 2000,1543,1180,60,303
Jan 2001,1699,1251,61,387
Feb 2001,1656,1242,69,345
Mar 2001,1659,1232,69,358
Apr 2001,1666,1259,65,342
May 2001,1665,1240,69,356
Jun 2001,1626,1252,81,293
Jul 2001,1598,1235,62,301
Aug 2001,1615,1241,65,309
Sep 2001,1565,1192,54,319
Oct 2001,1566,1185,60,321
Nov 2001,1651,1229,62,360
Dec 2001,1680,1251,73,356
Jan 2002,1665,1285,69,311
Feb 2002,1787,1401,66,320
Mar 2002,1691,1289,72,330
Apr 2002,1669,1285,68,316
May 2002,1716,1289,71,356
Jun 2002,1758,1314,82,362
Jul 2002,1738,1307,69,362
Aug 2002,1695,1317,72,306
Sep 2002,1803,1366,92,345
Oct 2002,1799,1382,71,346
Nov 2002,1771,1382,70,319
Dec 2002,1896,1409,78,409
Jan 2003,1808,1416,89,303
Feb 2003,1854,1357,80,417
Mar 2003,1757,1359,74,324
Apr 2003,1803,1391,85,327
May 2003,1835,1389,82,364
Jun 2003,1875,1461,79,335
Jul 2003,1885,1478,77,330
Aug 2003,1966,1521,83,362
Sep 2003,1961,1533,92,336
Oct 2003,2012,1566,80,366
Nov 2003,1918,1513,94,311
Dec 2003,1987,1549,76,362
Jan 2004,1952,1539,93,320
Feb 2004,1966,1564,87,315
Mar 2004,2066,1648,100,318
Apr 2004,2070,1617,94,359
May 2004,2150,1675,89,386
Jun 2004,2020,1615,83,322
Jul 2004,2112,1620,106,386
Aug 2004,2056,1609,83,364
Sep 2004,2041,1586,80,375
Oct 2004,2097,1593,87,417
Nov 2004,2079,1572,92,415
Dec 2004,2082,1613,90,379
Jan 2005,2139,1654,76,409
Feb 2005,2114,1630,89,395
Mar 2005,2062,1580,80,402
Apr 2005,2150,1654,75,421
May 2005,2085,1644,81,360
Jun 2005,2178,1683,87,408
Jul 2005,2203,1722,96,385
Aug 2005,2219,1716,87,416
Sep 2005,2263,1798,88,377
Oct 2005,2170,1742,84,344
Nov 2005,2218,1730,82,406
Dec 2005,2120,1661,84,375
Jan 2006,2212,1689,101,422
Feb 2006,2141,1643,85,413
Mar 2006,2118,1551,83,484
Apr 2006,1998,1496,78,424
May 2006,1905,1450,81,374
Jun 2006,1867,1393,72,402
Jul 2006,1763,1307,78,378
Aug 2006,1722,1282,77,363
Sep 2006,1655,1218,72,365
Oct 2006,1570,1175,69,326
Nov 2006,1535,1163,58,314
Dec 2006,1638,1198,72,368
Jan 2007,1626,1174,70,382
Feb 2007,1598,1136,70,392
Mar 2007,1596,1147,69,380
Apr 2007,1470,1058,60,352
May 2007,1493,1042,64,387
Jun 2007,1407,995,57,355
Jul 2007,1361,978,57,326
Aug 2007,1321,916,57,348
Sep 2007,1261,855,50,356
Oct 2007,1192,821,50,321
Nov 2007,1224,795,52,377
Dec 2007,1149,742,57,350
Jan 2008,1094,708,42,344
Feb 2008,1014,664,41,309
Mar 2008,967,642,38,287
