Month,PMI,New Orders,Production,Employment,Deliveries,Inventories,Custom Inv,Prices,Ord Backlog,Exports,Imports
10/01/13,56.6,61.3,60.8,54.3,54.1,52.5,47.0,55.5,51.5,57.0,55.5
11/01/13,57.0,63.4,62.4,55.4,53.3,50.5,45.0,52.5,54.0,59.5,55.0
12/01/13,56.5,64.4,61.7,55.8,53.7,47.0,47.5,53.5,51.5,55.0,55.0
01/01/14,51.3,51.2,54.8,52.3,54.3,44.0,44.0,60.5,48.0,54.5,53.5
02/01/14,54.3,54.5,48.2,52.3,58.5,52.5,46.5,60.0,52.0,53.5,53.5
03/01/14,54.4,55.1,55.9,51.1,54.0,52.5,42.0,59.0,57.5,55.5,54.5
04/01/14,55.3,55.1,55.7,54.7,55.9,53.0,42.0,56.5,55.5,57.0,58.0
05/01/14,55.6,56.9,61.0,52.8,53.2,53.0,46.5,60.0,52.5,56.5,54.5
06/01/14,55.7,58.9,60.0,52.8,51.9,53.0,46.5,58.0,48.0,54.5,57.0
07/01/14,56.4,63.4,61.2,58.2,54.1,48.5,43.5,59.5,49.5,53.0,52.0
08/01/14,58.1,66.7,64.5,58.1,53.9,52.0,49.0,58.0,52.5,55.0,56.0
09/01/14,56.1,60.0,64.6,54.6,52.2,51.5,44.5,59.5,47.0,53.5,53.0
10/01/14,57.9,65.8,64.8,55.5,56.2,52.5,48.0,53.5,53.0,51.5,54.5
11/01/14,57.6,66.0,64.4,54.9,56.8,51.5,50.0,44.5,55.0,55.0,56.0
12/01/14,55.1,57.3,58.8,56.8,59.3,45.5,44.5,38.5,52.5,52.0,55.0
01/01/15,53.5,52.9,56.5,54.1,52.9,51.0,42.5,35.0,46.0,49.5,55.5
02/01/15,52.9,52.5,53.7,51.4,54.3,52.5,46.5,35.0,51.5,48.5,54.0
03/01/15,51.5,51.8,53.8,50.0,50.5,51.5,45.5,39.0,49.5,47.5,52.5
04/01/15,51.5,53.5,56.0,48.3,50.1,49.5,44.0,40.5,49.5,51.5,54.0
05/01/15,52.8,55.8,54.5,51.7,50.7,51.5,45.5,49.5,53.5,50.0,55.0
06/01/15,53.5,56.0,54.0,55.5,48.8,53.0,48.5,49.5,47.0,49.5,53.5
07/01/15,52.7,56.5,56.0,52.7,48.9,49.5,44.0,44.0,42.5,48.0,52.0
08/01/15,51.1,51.7,53.6,51.2,50.7,48.5,53.0,39.0,46.5,46.5,51.5
09/01/15,50.2,50.1,51.8,50.5,50.2,48.5,54.5,38.0,41.5,46.5,50.5
10/01/15,49.4,50.8,52.5,47.7,49.7,46.5,51.0,39.0,42.5,47.5,47.0
11/01/15,48.4,49.0,49.8,50.8,49.6,43.0,50.5,35.5,43.0,47.5,49.0
12/01/15,48.0,48.8,49.9,48.0,49.8,43.5,51.5,33.5,41.0,51.0,45.5
01/01/16,48.2,51.5,50.2,45.9,50.0,43.5,51.5,33.5,43.0,47.0,51.0
02/01/16,49.7,51.5,52.8,48.5,49.7,45.0,47.0,38.5,48.5,46.5,49.0
03/01/16,51.7,58.3,55.3,48.1,50.2,47.0,49.0,51.5,51.0,52.0,49.5
04/01/16,50.7,55.8,54.2,49.2,49.1,45.5,46.0,59.0,50.5,52.5,50.0
05/01/16,51.0,55.7,52.6,49.2,54.1,45.0,50.0,63.5,47.0,52.5,50.0
06/01/16,52.8,57.0,54.7,50.4,55.4,48.5,51.0,60.5,52.5,53.5,52.0
07/01/16,52.3,56.9,55.4,49.4,51.8,49.5,51.0,55.0,48.0,52.5,52.0
08/01/16,49.4,49.1,49.6,48.3,50.9,49.0,49.5,53.0,45.5,52.5,47.0
09/01/16,51.7,55.1,52.8,49.7,50.3,49.5,53.0,53.0,49.5,52.0,49.0
10/01/16,52.0,52.1,54.6,52.9,52.2,47.5,49.5,54.5,45.5,52.5,52.0
11/01/16,53.5,54.8,55.6,52.5,55.5,49.0,49.0,54.5,49.0,52.0,50.5
12/01/16,54.5,60.3,59.4,52.8,53.0,47.0,49.0,65.5,49.0,56.0,50.5
01/01/17,56.0,60.4,61.4,56.1,53.6,48.5,48.5,69.0,49.5,54.5,50.0
02/01/17,57.6,65.1,62.9,54.2,54.8,51.5,47.5,68.0,57.0,55.0,54.0
03/01/17,56.6,64.5,57.6,58.9,55.9,49.0,47.0,70.5,57.5,59.0,53.5
04/01/17,55.3,57.5,58.6,52.0,55.1,51.0,45.5,68.5,57.0,59.5,55.5
05/01/17,55.5,59.5,57.1,53.5,53.1,51.5,49.5,60.5,55.0,57.5,53.5
06/01/17,56.7,63.5,62.4,57.2,57.0,49.0,50.5,55.0,57.0,59.5,54.0
07/01/17,56.5,60.4,60.6,55.2,55.4,50.0,49.0,62.0,55.0,57.5,56.0
08/01/17,59.3,60.3,61.0,59.9,57.1,55.5,41.0,62.0,57.5,55.5,54.5
09/01/17,60.2,64.6,62.2,60.3,64.4,52.5,42.0,71.5,58.0,57.0,54.0
10/01/17,58.5,63.5,61.0,59.8,60.1,48.1,43.5,68.1,53.9,55.1,54.3
11/01/17,58.2,63.9,64.3,59.2,56.6,47.1,45.1,64.8,54.3,56.3,54.3
