Month,NMI,Business Activity,New Orders,Employment,Deliveries,Inventories,Prices,Order Backlog,Exports,Imports
10/01/15,59.1,63.0,62.0,59.2,52.0,52.5,49.1,54.5,54.5,54.5
11/01/15,55.9,58.2,57.5,55.0,53.0,54.5,50.3,51.5,49.5,51.0
12/01/15,55.3,58.7,58.2,55.7,48.5,53.0,49.7,50.0,0.0,49.0
01/01/16,53.5,53.9,56.5,52.1,51.5,51.5,46.4,52.0,45.5,46.0
02/01/16,54.3,57.8,55.5,49.7,50.5,52.5,45.5,52.0,53.5,55.5
03/01/16,54.9,59.8,56.7,50.3,51.0,52.5,49.1,52.0,58.5,53.0
04/01/16,55.7,58.8,59.9,53.0,51.0,54.0,53.4,51.5,56.5,54.0
05/01/16,53.6,55.1,54.2,49.7,52.5,54.0,55.6,50.0,49.0,53.5
06/01/16,56.1,59.5,59.9,52.7,54.0,55.5,55.5,47.5,53.0,54.0
07/01/16,54.9,59.3,60.3,51.4,51.0,54.0,51.9,51.0,55.5,53.0
08/01/16,51.7,51.8,51.4,50.7,51.5,48.0,51.8,49.5,46.5,50.5
09/01/16,56.6,60.3,60.0,57.2,51.0,51.5,54.0,52.0,56.5,51.0
10/01/16,54.6,57.7,57.7,53.1,50.5,52.0,56.6,52.0,55.5,53.0
11/01/16,56.2,61.7,57.0,58.2,52.0,51.5,56.3,51.0,57.0,54.0
12/01/16,56.6,61.4,61.6,53.8,52.0,52.0,57.0,48.0,53.0,50.0
01/01/17,56.5,60.3,58.6,54.7,52.5,48.0,59.0,50.0,48.0,54.0
02/01/17,57.4,63.6,61.2,55.2,50.5,52.0,57.7,54.0,57.0,51.0
03/01/17,55.6,58.9,58.9,51.6,51.5,48.5,53.5,53.0,62.5,56.5
04/01/17,57.3,62.4,63.2,51.4,53.0,52.5,57.6,53.5,65.5,53.0
05/01/17,57.1,60.7,57.7,57.8,51.5,54.0,49.2,57.0,54.5,48.5
06/01/17,57.2,60.8,60.5,55.8,52.5,57.5,52.1,52.5,55.0,51.0
07/01/17,54.3,55.9,55.1,53.6,51.0,56.5,55.7,52.0,53.0,51.5
08/01/17,55.2,57.5,57.1,56.2,50.5,53.5,57.9,53.5,55.0,50.5
09/01/17,59.4,61.3,63.0,56.8,58.0,51.5,66.3,56.0,56.0,52.0
10/01/17,59.8,61.5,62.6,57.0,58.0,52.5,61.5,53.5,60.0,52.0
11/01/17,57.3,61.1,58.8,55.4,54.0,54.5,60.1,51.5,57.0,52.5
12/01/17,56.0,57.8,54.5,56.3,55.5,53.5,59.9,50.0,56.5,52.5
01/01/18,59.9,59.8,62.7,61.6,55.5,49.0,61.9,50.5,58.0,54.0
02/01/18,59.5,62.8,64.8,55.0,55.5,53.5,61.0,56.0,59.5,50.0
03/01/18,58.8,60.6,59.5,56.6,58.5,53.5,61.5,56.5,58.0,55.0
